slug,productName,primaryProductId,primaryProductName,go4cardProductId,go4cardProductName,confidence
"sugo-tr","SUGO TR","487","SUGO TR","584","sugo tr","1"
"super-live","Super Live","68","Super Live","91","Super Live","1"
"tango","Tango","26","Tango","173","Tango","1"
"tomohi","Tomohi","677","Tomohi","308","TOMOHI","1"
"up-fun","Up Fun","486","Up Fun","570","up fun","1"
"vova","Vova","522","Vova","648","vova","1"
"waaw-chat","Waaw Chat","523","Waaw Chat","571","waaw chat","1"
"wadi-chat","WADI CHAT","693","WADI CHAT","871","wadi chat","1"
"waho","Waho","53","Waho","109","Waho","1"
"waki-star","Waki Star","439","Waki Star","203","waki star","1"
"wasla-chat","Wasla Chat","405","Wasla Chat","176","Wasla Chat","1"
"wego","Wego","35","Wego","75","Wego","1"
"westar","Westar","525","Westar","166","westar","1"
"yaahlan","Yaahlan","28","Yaahlan","62","Yaahlan","1"
"yami-star","Yami Star","412","Yami Star","193","Yami Star","1"
"yaza","Yaza","477","Yaza","395","yaza","1"
"yo2","YO2","714","YO2","339","yo2","1"
"yoho","Yoho","45","Yoho","138","yoho","1"
"yohoo-star","Yohoo star","586","Yohoo star","526","yohoo star","1"
"yoyo","Yoyo","42","Yoyo","69","Yoyo","1"
"zaar","Zaar","625","Zaar","556","ِzaar","1"
"4fun","Daily Sim - 4fun","556","Daily Sim - 4fun","73","4Fun","0.93"
"ahlan","Ahlan","46","Ahlan","520","ahlan chat","0.93"
"amar-chat","Amar chat","347","Amar chat","43","Amar","0.93"
"bigo","Bigo","37","Bigo","57","Bigo Live","0.93"
"binmo","Binmo","43","Binmo","116","Binmo Chat","0.93"
"bobo","Bobo","84","Bobo","146","Bobo Chat","0.93"
"chamet-live","Chamet Live","350","Chamet Live","77","Chamet","0.93"
"cloz","Cloz","617","Cloz","544","cloz chat","0.93"
"cocco","Cocco","30","Cocco","68","Cocco Live2","0.93"
"dana-chat","Dana Chat","434","Dana Chat","185","Dana","0.93"
"dawa","Dawa","684","Dawa","175","dawa chat","0.93"
"dimo","Dimo","39","Dimo","72","Wanasa (Dimo)","0.93"
